Название товара	Душевая кабина Parly ET92
Описание товара	"Душевая кабина Parly ET92, , Размер: 90х90х215 см, , Компактная кабина подойдет для небольших ванных комнат. Светлая модель практична и проста в уходе., , Достоинства:, Стекло противоосколочное, ударопрочное, закаленное, жемчужное, рифленое, толщина 4 мм. Полотно устойчиво к случайным ударам. В случае битья рассыпается на грани с тупыми концами., Стенки задние: стекло закаленное, жемчужное, 4 мм., Высокий поддон (42 см), АСБ пластик, белый, полукруглый. Поддон можно использовать в качестве ванночки для купания детей или замачивания вещей. Противоскользящее покрытие поддона предупреждает падения., Двери раздвижные, на роликах ходят плавно, не соскакивают с направляющих., Профиль белый, алюминиевый. Не боится высокой влажности и перепадов температуры., Комплектация: моносмеситель хромированный, верхний душ ТРОПИК, ручной душ, сифон с ""антизапахом""., Соединение безболтовое., Магнитные уплотнители двери под углом 45° помогают сохранить тепло внутри кабины, не дают воде просачиваться наружу., Дополнительные силиконовые уплотнители для задних стенок .Все ниши и щели закрыты водоотсекателями."
Цена в рублях	34875
Цена без скидки	-
Оценка покупателей	100%
Название магазина	VKUSS Spa
Количество отзывов	1
Тип	Душевая кабина
Длина, см	90
Ширина, см	90
Высота, см	215
Толщина стекла, мм	4
Стекло	Матовое
Управление	Ручное
Страна-изготовитель	Китай
Цвет	Жемчужный
Размеры, мм	900х900х2150
Цвет стенки	Белый
Монтаж	Напольный
Высота поддона	Высокий
Материал дверей	Закаленное стекло
Ориентация установки	Универсальная
Цвет фурнитуры	Белый
Гарантия	1 год
Форма	Четверть круга
Материал поддона	ABS пластик
Установлено	Верхний душ
Число дверей	2
Бренд	Parly
Двери	Раздвижные в стороны
Адрес товара	https://www.ozon.ru/product/301628069?oos_search=false
Статус 	Закончился
