Название товара	Душевая кабина Erlit ER3509TPF-C3 с глубоким поддоном угловая матовая
Описание товара	Размер 90х90х215 см. Безсиликоновая модульная сборка, усиленный акриловый поддон, эргономичное встроенное сиденье, ударопрочные стекла специальной закалки, эстетичный внешний вид. ERLIT ER3509TPF-C3 - это душевая кабина в классическом стиле, полукруглой формы (четверть круга), стандартных размеров 90 на 90 см, с раздвижными дверьми, оборудованная гидромассажем, ручным и тропическим душем. Стекла закаленные, травмобезопасные, матовые, толщиной 4 мм. Поддон глубокий 42 см, на металлическом каркасе, в комплекте со съемным экраном и сифоном. Задняя стенка - матовое стекло. Производство - «Erlit®» (Китай) Гарантия - 1 год. Срок службы – 15 лет   - душевые поддоны выдерживают максимальную распределенную нагрузку до 150 кг, за счет многослойного армирования и усиления металлических каркасов дополнительными ребрами жесткости.  - двойные металлические ролики с дополнительным покрытием обеспечивают надёжное и бесшумное открытие/закрытие дверей.  - дно акриловых поддонов имеет рифленую поверхность противоскольжения «Antislip», для обеспечения дополнительной безопасности при приеме душа.  - стекла изготовлены по запатентованной технологии закалки TempGlass с особой термической обработкой при высоких температурах до 1 800 градусов, поэтому отличаются высокой ударопрочностью.  Вес: 70 кг, объем 0,6 куб м, 3 коробки
Цена в рублях	38300
Цена без скидки	45816
Оценка покупателей	0%
Название магазина	Shower5.ru
Количество отзывов	0
Тип	Душевая кабина
Длина, см	90
Ширина, см	90
Высота, см	215
Толщина стекла, мм	4
Стекло	Матовое
Адрес товара	https://www.ozon.ru/product/275300042?oos_search=false
Статус 	В наличии
