Название товара	Душевая кабина WeltWasser (ВелтВассер) HALLE 802 WW500 80х80 см, угловая, прозрачная, с высоким поддоном, с крышей
Описание товара	Душевая кабина WeltWasser HALLE 802 WW500 80х80 см имеет безсиликоновую сборку. С крышей.  Профиль анодированный алюминий. Матовый хром. Фурнитура вся металл хром. Смеситель латунный с резьбовыми выходами. Вентиляционные отверстия. Верхний металлический душ с системой Easy Clean. Ручной душ 3 положения. Штанга с мыльницей. Длина шланга 1500-1900 мм. Шланг растягивается. Полочка с металлическим ограничителем. Зеркало с фацетом и декоративной рамкой. Ручки металл хром. Двойные верхние металлические ролики. Силиконовые водонепроницаемые уплотнители. Акриловый поддон 45 см с сифоном. Экран съемный. Сиденье встроенное. Сифон с гидрозатвором. Клапан сифона металл. Сетка для улавливания волос. Резьбовое соединение всех задних шлангов.
Цена в рублях	34500
Цена без скидки	55020
Оценка покупателей	85.8667%
Название магазина	Shower5.ru
Количество отзывов	3
Тип	Душевая кабина
Длина, см	80
Ширина, см	80
Высота, см	217
Толщина стекла, мм	5
Стекло	Прозрачное
Управление	Ручное
Страна-изготовитель	Германия
Цвет	Белый
Размеры, мм	800х8002170
Высота поддона	Высокий
Гарантия	5 лет
Адрес товара	https://www.ozon.ru/product/270429904?oos_search=false
Статус 	В наличии
