Название товара	Душевой бокс Parly BNE150
Описание товара	"Душевой бокс BNE 150 Размер 150х75х215 см, , Душевой бокс с повышенной жесткостью и устойчивостью конструкции. Модель герметична, вода наружу сквозь стыки не просачивается. , , Достоинства:, Жемчужное стекло, 4 мм. Полотно закаленное, противоосколочное, ударопрочное. , Задние стенки из закаленного белого стекла, 4 мм., Увеличенный внутренний объем., Двойные надежные ролики на дверях. Раздвижные двери ходят плавно и не соскакивают с направляющих. При закрывании двери фиксируются магнитными лентами под углом 45%. Это устраняет зазоры и исключает необходимость регулировки дверного проема., Высокий поддон (50 см) со съемным экраном на защелках. Материал — АБС пластик. Поддон армированный,  Противоскользящее покрытие поддона. Усиленный металлический каркас с ребром жесткости по всей длине поддона., Профили кабины алюминиевые хромированные, устойчивы к образованию коррозии., Внутри кабины усиленная полка 30 см с ограничителями. В кабине установлен однорычажный смеситель, верхний (тропический) душ, ручной душ, вентиляционные отверстия, слив – перелив, шланг длиной 65 см, ""антизапах"". Вся фурнитура хромированная., Центральная панель пластиковая хромированная. Возможна установка сенсорного пульта."
Цена в рублях	60375
Цена без скидки	-
Оценка покупателей	0%
Название магазина	VKUSS Spa
Количество отзывов	0
Тип	Душевой бокс
Длина, см	150
Ширина, см	75
Высота, см	215
Толщина стекла, мм	4
Стекло	Матовое
Управление	Ручное
Страна-изготовитель	Китай
Цвет	Хром
Размеры, мм	1500х750х2150
Бренд	Parly
Число дверей	2
Ориентация установки	Универсальная
Гарантия	1 год
Высота поддона	Высокий
Материал задней стенки	Стекло
Двери	Раздвижные в стороны
Материал дверей	Закаленное стекло
Форма	Прямоугольник
Материал поддона	ABS пластик
Установлено	Полка
Монтаж	Напольный
Цвет фурнитуры	Серебристый
Цвет стенки	Белый
Адрес товара	https://www.ozon.ru/product/300809086?oos_search=false
Статус 	Закончился
