Название товара	Душевая кабина Parly EC93
Описание товара	Душевая кабина EC93, , Размер: 90х90х210 см, , Душевая кабина с низким поддоном. За счет компактного размера и формы, модель занимает минимум места в санузле. Внутри кабины хорошо сохраняется тепло, модель герметична, вода сквозь стыки наружу не просачивается., , Достоинства:, Стекло: тонированное, 4 мм. Закаленное полотно практически невозможно разбить. В случае битья стекло рассыпается на множество граней с тупыми концами, о которые невозможно пораниться., Стенки: закаленное черное стекло, 4 мм., Профиль: белый, алюминиевый. Профиль не деформируется при перепадах температуры и устойчив к образованию коррозии., Центральная панель белая, в которую возможна установка сенсорного пульта., Поддон: низкий, 10 см, полукруглый. Материал - АВS. Рельефное дно предупреждает падения., Комплектация: верхний душ ТРОПИК, ручной душ, сифон., Раздвижные двери смыкаются плотно. Створки ходят плавно, не заедают.
Цена в рублях	36875
Цена без скидки	-
Оценка покупателей	0%
Название магазина	VKUSS Spa
Количество отзывов	0
Тип	Душевая кабина
Длина, см	90
Ширина, см	90
Высота, см	210
Толщина стекла, мм	4
Стекло	Тонированное
Управление	Ручное
Страна-изготовитель	Китай
Цвет	Черный
Размеры, мм	900х900х2100
Материал дверей	Закаленное стекло
Гарантия	1 год
Установлено	Верхний душ
Монтаж	Напольный
Бренд	Parly
Число дверей	2
Двери	Раздвижные в стороны
Форма	Четверть круга
Высота поддона	Низкий
Цвет стенки	Черный
Материал поддона	ABS пластик
Ориентация установки	Универсальная
Адрес товара	https://www.ozon.ru/product/301225982?oos_search=false
Статус 	Закончился
