Название товара	Душевая кабина Deto D80S
Описание товара	Безсиликоновая сборка;, Резьбовые соединения;, Металические (верхние и нижние) саморегулирующиеся безопасные ролики в пластиковом антикоррозийном кожухе;, Армированный акриловый поддон на металлическом каркасе;, Антильскользящее покрытие;, Задние стенки изготовлены из белого ударопрочного стекла толщиной 4 мм., Переднее матовое закаленное стекло толщиной 4 мм., Алюминиевый глянцевый профиль;, Латунный смеситель и переключатель режимов;, Полочка с ограничителем;, Зеркало;, Крепление ( крючок ) для мочалок;, Верхняя лейка (тропический дождь), Крыша с двумя вентиляционными отверстиями;, Штанга для регулирование высоты ручной лейки;, Ручная лейка d 140 мм., Высота поддона 50 см., Передний съемный экран;, Встроенная литая сидушка;, Донный клапан ( клик-клак ), Сифон с гидрозатвором
Цена в рублях	43800
Цена без скидки	-
Оценка покупателей	0%
Название магазина	Веб Маркет
Количество отзывов	0
Тип	Душевая кабина
Длина, см	80
Ширина, см	80
Высота, см	220
Толщина стекла, мм	4
Стекло	Матовое
Управление	Ручное
Страна-изготовитель	Финляндия
Размеры, мм	800х800х2200
Материал задней стенки	Стекло
Установлено	Верхний душ
Высота поддона	Высокий
Гарантия	5 лет
Ориентация установки	Универсальная
Материал поддона	Модакрил
Бренд	DETO
Монтаж	На поддон
Двери	Раздвижные в стороны
Число дверей	2
Форма	Четверть круга
Цвет фурнитуры	Серебристый
Цвет стенки	Белый
Материал дверей	Стекло
Адрес товара	https://www.ozon.ru/product/279420654?oos_search=false
Статус 	Закончился
