Название товара	Душевое ограждение IDDIS, 100х80х195 см, закаленное стекло 6 мм., глянцевый алюминиевый профиль, Zodiac, ZOD6CS8i23
Описание товара	Душевое ограждение для ванной комнаты Zodiac прямоугольной формы с регулируемым размером 985-1000х785-800х1950 мм, что позволяет сгладить неровности стен до 15 мм. Ограждение имеет универсальную ориентацию. , , - Алюминиевый глянцевый профиль обеспечивает стабильность и надежность всей конструкции. , , - Прозрачное закаленное стекло толщиной 6 мм выдерживает случайные удары, что делает перегородку надежной и безопасной в каждодневном использовании. , , - Благодаря водоотталкивающему покрытию вода не задерживается на стеклах ограждения, что исключает образование известкового налета и упрощает уход. , , - За счет надежных двойных роликов сверху и снизу дверки двигаются плавно и бесшумно в течение всего срока службы. , , - Дверки ограждения легко снимаются и устанавливаются обратно для упрощения процесса уборки – для этого надо нажать на кнопку на нижнем ролике, снять его и затем аккуратно снять дверку., , - Удобная ручка из сплава металлов., , - Гарантия на душевые ограждения IDDIS® — 2 года, чтобы вы были уверены в их надежности и высоком качестве.
Цена в рублях	35890
Цена без скидки	-
Оценка покупателей	100%
Название магазина	IDDIS Official Store
Количество отзывов	2
Тип	Душевое ограждение, Душевая перегородка, Душевой уголок
Длина, см	195
Ширина, см	100
Высота, см	80
Толщина стекла, мм	6
Стекло	Прозрачное
Страна-изготовитель	Россия
Цвет	Прозрачный
Размеры, мм	19550x1000x800
Цвет фурнитуры	Серебристый
Число дверей	2
Форма	Прямоугольник
Гарантия	2 года
Цвет стенки	Прозрачный
Материал дверей	Закаленное стекло
Монтаж	Напольный
Бренд	IDDIS
Двери	Раздвижные в стороны
Адрес товара	https://www.ozon.ru/product/235173933?oos_search=false
Статус 	Закончился
