Название товара	Душевая кабина Parly EB103
Описание товара	Душевая кабина EB103, , Размер: 100х100х210 см, , Душевая кабины выполнена в нейтральном дизайне. Модель дополнит любой интерьер ванной комнаты и не будет перетягивать на себя внимание от общей задумки оформления санузла., , Достоинства:, Матовое закаленное закаленное, 4 мм. Полотно устойчиво к случайным ударам. В случае битья, стекло рассыпается на множество мелких граней, о которые невозможно порезаться., Задние стенки из закаленного белого стекло, 4 мм., Профиль: белый, алюминиевый. Устойчив к образованию коррозии., Центральная панель белая, в которую можно врезать пульт управления., Поддон: низкий 10см, полукруглый с рельефным дном., Комплектация: верхний душ ТРОПИК, ручной душ, сифон.
Цена в рублях	40250
Цена без скидки	-
Оценка покупателей	100%
Название магазина	VKUSS Spa
Количество отзывов	4
Тип	Душевая кабина
Длина, см	100
Ширина, см	100
Высота, см	210
Толщина стекла, мм	4
Стекло	Матовое
Управление	Ручное
Страна-изготовитель	Китай
Размеры, мм	1000х1000х2100
Ориентация установки	Универсальная
Бренд	Parly
Высота поддона	Низкий
Материал дверей	Закаленное стекло
Двери	Раздвижные в стороны
Форма	Четверть круга
Установлено	Верхний душ
Монтаж	Напольный
Гарантия	1 год
Число дверей	2
Материал поддона	ABS пластик
Цвет стенки	Белый
Адрес товара	https://www.ozon.ru/product/301032615?oos_search=false
Статус 	Закончился
