Название товара	Душевой бокс Parly BNE170
Описание товара	Душевой бокс Parly BNE170, , Размер: 170х75х215 см, , Бокс впишется в светлый и темный дизайн ванной комнаты. Внутри душевой зоны достаточно места, чтобы принимать душ вдвоем., , Достоинства:, Стекло: матовое закаленное, 4 мм. Сквозь полотно просматриваются только контуры фигуры. Матовое стекло не прихотливо в уходе и не требует частой чистки., Стенки: закаленное стекло белое, 4 мм., Профиль: матовый хромированный, алюминиевый. Профиль не боится высокой влажности и не подвержен коррозии., Поддон: высокий, прямоугольный. Поддон можно использовать в качестве ванночки для купания и замачивания вещей., В центральную панель возможна установка пульта., Комплектация: верхний душ ТРОПИК, ручной душ, сифон, налив воды в поддон. Без пульта, без радио, без подсветки., ,  
Цена в рублях	64500
Цена без скидки	-
Оценка покупателей	0%
Название магазина	VKUSS Spa
Количество отзывов	0
Тип	Душевой бокс
Длина, см	170
Ширина, см	75
Высота, см	215
Толщина стекла, мм	4
Стекло	Матовое
Управление	Ручное
Страна-изготовитель	Китай
Размеры, мм	1700х750х2150
Двери	Раздвижные в стороны
Цвет фурнитуры	Серебристый
Цвет стенки	Белый
Ориентация установки	Универсальная
Материал дверей	Закаленное стекло
Бренд	Parly
Материал задней стенки	Стекло
Форма	Прямоугольник
Гарантия	1 год
Материал поддона	ABS пластик
Высота поддона	Высокий
Монтаж	Напольный
Установлено	Полка
Число дверей	2
Адрес товара	https://www.ozon.ru/product/300812566?oos_search=false
Статус 	Закончился
