Название товара	Душевая кабина Parly BMM86
Описание товара	Душевая кабина Parly BMM86, , Размер: 85х85х215 см, , Компактная светлая кабина экономит место в ванной и визуально увеличивает пространство. Отсутствие центрального столба позволило увеличить внутреннюю площадь душевой зоны., , Достоинства:, Прозрачное закаленное стекло, 4 мм. Полотно устойчиво к случайным ударам. В случае битья рассыпается на мелкие грани с тупыми концами., Стенки из закаленного белого стекла, 4 мм., Профиль: белый, алюминиевый. Не подвержен коррозии., Поддон: средний 26 см, полукруглый. Высота поддона предупреждает разбрызгивание воды и позволяет замачивать вещи., Сборка без применения силикона. Конструкция душевой кабины обеспечивает слив воды внутрь поддона. Сам поддон по всему периметру оснащен водонепроницаемым бортиком  высотой 2 см, который исключает перелив воды за пределы душевой зоны., Комплектация: полка, большое встроенное зеркало, верхний душ ТРОПИК, ручной душ, сифон
Цена в рублях	41250
Цена без скидки	-
Оценка покупателей	0%
Название магазина	VKUSS Spa
Количество отзывов	0
Тип	Душевая кабина
Ширина, см	85
Высота, см	215
Толщина стекла, мм	4
Стекло	Прозрачное
Управление	Ручное
Страна-изготовитель	Китай
Размеры, мм	850х850х2150
Материал поддона	ABS пластик
Высота поддона	Средний
Число дверей	2
Гарантия	1 год
Установлено	Зеркало
Материал задней стенки	Стекло
Монтаж	Напольный
Двери	Раздвижные в стороны
Бренд	Parly
Форма	Четверть круга
Материал дверей	Закаленное стекло
Цвет стенки	Белый
Адрес товара	https://www.ozon.ru/product/300751678?oos_search=false
Статус 	Закончился
