Название товара	Душевой бокс Parly CNE150
Описание товара	"Душевой бокс Parly CNE150, , Размер: 150х75х215 см, Стекло: 4 мм тонированное закаленное, Стенки: закаленное стекло чёрное 4 мм, Профиль: матовый хромированный алюминиевый, Поддон: высокий 50 см, прямоугольный, Комплектация: полка, смеситель, верхний душ ТРОПИК, ручной душ, слив с переливом.  Без пульта, без радио, без света., Поддон, крыша, закрывающий передний экран - белый АБС пластик. Поддон армированный, высота 50 см. Профили кабины алюминиевые хромированные. Стекло закаленное. Переднее стекло прозрачное, тонированное. Задняя стекло черное, в раме. Это придает дополнительную жесткость конструкции. Внутри кабины усиленная полка 30 см с ограничителями. Центральная панель пластиковая хромированная. В кабине установлен однорычажный смеситель, верхний (тропический) душ, ручной душ, вентиляционные отверстия. На дверях F образные реснички – уплотнители повышают герметичность кабины. Двери раздвижные на роликах (одинарные внизу, двойные вверху). При закрывании двери фиксируются магнитными лентами под углом 45%. Это устраняет зазоры и исключает необходимость регулировки дверного проема. Усиленный металлический каркас с ребром жесткости по всей длине поддона. Слив – перелив, шланг длиной 65 см, ""антизапах"". Вся фурнитура хромированная. Кожух поддона на защелках. Противоскользящее покрытие поддона. Без пульта ДУ., , ПРЕИМУЩЕСТВА душевого бокса Parly BNE150: повышенная жесткость и устойчивость конструкции. Герметичность. Увеличенный внутренний объем. Безопасность за счет отсутствия электроподключения. Экран на защелках. Двойные надежные ролики на дверях."
Цена в рублях	60375
Цена без скидки	-
Оценка покупателей	0%
Название магазина	VKUSS Spa
Количество отзывов	0
Тип	Душевой бокс
Длина, см	150
Ширина, см	75
Высота, см	215
Толщина стекла, мм	4
Стекло	Тонированное
Управление	Ручное
Страна-изготовитель	Китай
Размеры, мм	1500х750х2150
Бренд	Parly
Материал дверей	Закаленное стекло
Материал задней стенки	Стекло
Установлено	Полка
Цвет стенки	Черный
Материал поддона	ABS пластик
Число дверей	2
Форма	Прямоугольник
Гарантия	1 год
Ориентация установки	Универсальная
Высота поддона	Высокий
Двери	Раздвижные в стороны
Монтаж	Напольный
Адрес товара	https://www.ozon.ru/product/301021452?oos_search=false
Статус 	Закончился
