Название товара	Душевая кабина Enigma
Описание товара	Вид поддона: низкий. Комплектация: Душевая кабина, душевой гарнитур, инструкция. Высота поддона (см) 13 Исполнение полотна двери: прозрачное. Толщина полотна дверей, мм 0.6. Конструкция дверей: распашная. Количество секций двери: 1. Турецкая баня: Нет. Инфракрасная сауна: Нет. Материал задней стенки: стекло. Расположение: угловая. Наличие крыши: закрытая, c крышей. Встроенное сиденье: Нет. Освещение: нет. Вентиляция: Есть. Зеркало: нет. Полки: Да. Гарантия: 2 года. Вход: спереди. Цвет корпуса: белый. Регулируемая высота ножек: да. Материал поддона: акрил.
Цена в рублях	65128
Цена без скидки	-
Оценка покупателей	0%
Название магазина	STURM
Количество отзывов	0
Тип	Душевая кабина
Длина, см	100
Ширина, см	100
Высота, см	212
Толщина стекла, мм	0.6
Стекло	Прозрачное
Управление	Ручное
Страна-изготовитель	Китай
Цвет	Прозрачный
Размеры, мм	1000х1000х2120
Материал задней стенки	Стекло
Число дверей	1
Высота поддона	Низкий
Материал поддона	Акрил
Установлено	Ручной душ
Цвет фурнитуры	Серебристый
Двери	Открывающиеся влево
Материал дверей	Стекло
Монтаж	На поддон
Цвет стенки	Прозрачный
Бренд	STURM
Гарантия	2 года
Форма	Полукруг
Ориентация установки	Универсальная
Число форсунок	0
Адрес товара	https://www.ozon.ru/product/285011165?oos_search=false
Статус 	Закончился
