Название товара	W53G-W80-000CT W8 Bliss L, базовый элемент, фикс.стекло, профиль хром, прозрачное стекло, шт
Описание товара	Душевое ограждение Am.Pm Bliss L W53G-W80-000CT W8 , , , Ширина изделия (мм): 800, , Глубина изделия (мм): 20, , Высота изделия (мм): 1900, , Материал: закаленное безосколочное стекло, , Назначение: для душевых дверей в нишу и углов, , Установка держателя стекла: в любых направлениях под углом 45 и 90 градусов, , Ориентация: универсальная, , Установка: напольная, , Толщина стекла (мм): 6, , Цвет профиля: хром
Цена в рублях	23090
Цена без скидки	-
Оценка покупателей	0%
Название магазина	Shower5.ru
Количество отзывов	0
Тип	Душевая кабина, Душевой уголок
Страна-изготовитель	Германия
Бренд	AM.PM
Адрес товара	https://www.ozon.ru/product/260163854?oos_search=false
Статус 	Закончился
