Название товара	Душевая кабина Parly EB103
Описание товара	Душевая кабина EB103, , Размер: 100х100х210 см, , Душевая кабины выполнена в нейтральном дизайне. Модель дополнит любой интерьер ванной комнаты и не будет перетягивать на себя внимание от общей задумки оформления санузла., , Достоинства:, Матовое закаленное закаленное, 4 мм. Полотно устойчиво к случайным ударам. В случае битья, стекло рассыпается на множество мелких граней, о которые невозможно порезаться., Задние стенки из закаленного белого стекло, 4 мм., Профиль: белый, алюминиевый. Устойчив к образованию коррозии., Центральная панель белая, в которую можно врезать пульт управления., Поддон: низкий 10см, полукруглый с рельефным дном., Комплектация: верхний душ ТРОПИК, ручной душ, сифон.
Цена в рублях	37600
Цена без скидки	-
Оценка покупателей	0%
Название магазина	Веб Маркет
Количество отзывов	0
Тип	Душевая кабина
Длина, см	100
Ширина, см	100
Высота, см	210
Стекло	Матовое
Страна-изготовитель	Китай
Форма	Четверть круга
Материал поддона	Акрил
Материал задней стенки	Стекло
Материал дверей	Стекло
Монтаж	Напольный
Бренд	Parly
Число дверей	2
Высота поддона	Низкий
Двери	Раздвижные в стороны
Гарантия	1 год
Адрес товара	https://www.ozon.ru/product/278102693?oos_search=false
Статус 	Закончился
