Название товара	Дверь в проем Cezares STYLUS-O-M-BF-1-140-C-Cr
Описание товара	STYLUS-O-M-BF-1-140-C-Cr Дверь в проем. Тип дверей: одна раздвижная секция и одно неподвижное стекло. Стекло: 8 мм, прозрачное. Исполнение: хром. Поддон: тип АН или барьер тип В. Поддон и барьер приобретаются отдельно. Особенности: * белый магнитный уплотнитель дверей; * уникальный дизайн роликовых механизмов; * увеличенная высота.
Цена в рублях	37240
Цена без скидки	46496
Оценка покупателей	0%
Название магазина	ОВМПРОМ
Количество отзывов	0
Тип	Душевое ограждение
Страна-изготовитель	Италия
Бренд	Cezares
Адрес товара	https://www.ozon.ru/product/239821255?oos_search=false
Статус 	В наличии
