Название товара	Душевая кабина Niagara NG-2508 (90х90 х215), установка универсальная, поддон высокий 45 см, тропический душ
Описание товара	Тип кабины - Полукруглая душевая кабина для пристенного монтажа Тип стекла - Закалённое травмобезопасное стекло 5мм Тип открытия дверей - Раздвижные  Цвет задней стенки - Черный Цвет передних стекол - Тонированный Цвет профиля -Хром матовый
Цена в рублях	28800
Цена без скидки	-
Оценка покупателей	0%
Название магазина	Доставка в дом Market-santehniki.ru
Количество отзывов	0
Тип	Душевая кабина
Длина, см	90
Ширина, см	90
Высота, см	220
Толщина стекла, мм	5
Стекло	Прозрачное
Адрес товара	https://www.ozon.ru/product/271746969?oos_search=false
Статус 	Закончился
