Название товара	Душевая кабина Parly BMM86
Описание товара	Душевая кабина Parly BMM86, , Размер: 85х85х215 см, , Компактная светлая кабина экономит место в ванной и визуально увеличивает пространство. Отсутствие центрального столба позволило увеличить внутреннюю площадь душевой зоны., , Достоинства:, Прозрачное закаленное стекло, 4 мм. Полотно устойчиво к случайным ударам. В случае битья рассыпается на мелкие грани с тупыми концами., Стенки из закаленного белого стекла, 4 мм., Профиль: белый, алюминиевый. Не подвержен коррозии., Поддон: средний 26 см, полукруглый. Высота поддона предупреждает разбрызгивание воды и позволяет замачивать вещи., Комплектация: полка, большое встроенное зеркало, верхний душ ТРОПИК, ручной душ, сифон
Цена в рублях	38500
Цена без скидки	-
Оценка покупателей	0%
Название магазина	Веб Маркет
Количество отзывов	0
Тип	Душевая кабина
Длина, см	85
Ширина, см	85
Высота, см	215
Толщина стекла, мм	4
Стекло	Матовое
Управление	Ручное
Страна-изготовитель	Китай
Высота поддона	Низкий
Материал поддона	Акрил
Цвет фурнитуры	Белый
Бренд	Parly
Монтаж	Напольный
Цвет стенки	Белый
Двери	Раздвижные в стороны
Число дверей	2
Гарантия	1 год
Форма	Полукруг
Материал задней стенки	Стекло
Установлено	Верхний душ
Ориентация установки	Универсальная
Материал дверей	Стекло
Адрес товара	https://www.ozon.ru/product/278101221?oos_search=false
Статус 	Закончился
