Store_ID,ID
44225,269239026
44225,269239040
151884,269398899
151884,269398903
151884,269398912
112419,269708130
112419,269710433
112419,269850193
30206,199270727
30206,199270839
30206,199270858
30206,199270869
156607,269997493
156607,269997494
156607,269997508
156607,269997519
156607,269997527
156607,269997528
156607,269997561
156607,269997580
156607,269997769
156607,269997777
156607,269997889
156607,269997938
156607,269997978
156607,269997993
156607,269998101
156607,269998373
156607,269998421
156607,269998433
156607,269998451
156607,269998474
156607,269998476
156607,269998503
156607,270003833
156607,270003923
156607,270004042
156607,270004078
156607,270004106
156607,270004172
156607,270004217
156607,270004386
156607,270004387
156607,270004435
156607,270004453
156607,270004526
156607,270004531
156607,270004558
156607,270005964
156607,270006173
149313,270007143
149313,270008472
149313,270010866
149313,270011449
149313,270011511
149313,270012214
149313,270013392
149313,270013472
30206,199323329
30206,199323346
30206,199323349
30206,199323447
30206,199323471
30206,199323560
30206,199323866
30206,199323879
30206,199323881
149313,270022219
149313,270023097
149313,270023124
54269,270035808
112419,270068231
86684,270077890
86684,270079121
86684,270079494
86684,270079518
44225,270119981
149313,270181723
112419,270279238
99966,270391883
149313,270429846
149313,270429850
149313,270429855
149313,270429877
149313,270429896
149313,270429904
149313,270429906
149313,270429910
149313,270429918
149313,270429925
149313,270429930
149313,270429937
149313,270429938
149313,270429948
149313,270429949
149313,270429959
149313,270429960
149313,270429963
149313,270429964
149313,270429965
149313,270429970
149313,270429982
149313,270429984
149313,270429986
149313,270429990
149313,270430005
149313,270430013
149313,270430497
112419,270507673
149313,270540136
112419,270552547
112419,270558854
112419,270568112
99966,270577904
99966,270579186
99966,270584267
99966,270592181
99966,270663500
149313,270850533
149313,271149790
149313,271149812
149313,271149822
149313,271149831
149313,271149850
149313,271149860
149313,271149869
149313,271149877
149313,271149878
149313,271149886
149313,271149894
149313,271149908
149313,271149912
149313,271149913
149313,271149923
149313,271149936
149313,271149937
149313,271149939
149313,271149949
149313,271149950
149313,271149958
149313,271149960
149313,271150001
149313,271150177
149313,271150476
149313,271151020
149313,271151030
149313,271151180
149313,271151202
149313,271151441
149313,271151511
149313,271152089
149313,271153656
149313,271154882
149313,271156618
149313,271158318
149313,271160013
149313,271167293
99966,271196102
112419,271375426
112419,271376721
112419,271378195
112419,271378586
112419,271381609
112419,271383197
149313,271637816
149313,271637819
149313,271637820
149313,271637821
149313,271637823
149313,271637826
149313,271637834
149313,271637874
149313,271637879
149313,271637882
149313,271637921
149313,271637928
149313,271637929
149313,271637932
149313,271637938
149313,271637939
149313,271637941
149313,271637944
149313,271637945
149313,271637953
149313,271637954
149313,271637955
149313,271637957
149313,271637959
149313,271637961
112419,271656882
151884,271658514
98850,271660751
112419,271662584
112419,271663760
112419,271671086
151884,271689578
112419,271690319
151884,271693928
151884,271699636
151884,271701610
151884,271702451
151884,271703889
151884,271706319
112419,271712638
112419,271713119
151884,271715625
112419,271717804
151884,271718047
112419,271720401
151884,271723240
112419,271723939
112419,271725970
151884,271726861
112419,271730685
151884,271733612
151884,271734758
151884,271739949
151884,271741846
151884,271743440
112419,271746969
112419,271751664
151884,271754105
151884,271758276
112419,271760068
151884,271761779
112419,271762902
112419,271768462
112419,271773629
112419,271780630
92448,231793082
112419,271795564
92448,231797558
112419,271815564
112419,271825070
112419,271828138
151884,271831436
112419,271832666
151884,271834310
151884,271838965
151884,271842533
151884,271847958
151884,271850097
151884,271855925
151884,271856137
151884,271857171
151884,271857297
151884,271858801
151884,271860851
151884,271865220
151884,271876528
151884,271880081
112419,271880800
112419,271881924
112419,271895411
149313,271916231
112419,271947109
112419,271949095
112419,271949928
112419,271951411
151884,272094464
151884,272094771
151884,272094999
112419,272096356
112419,272101742
112419,272150543
112419,272156232
112419,272156798
151884,272159439
151884,272165720
112419,272167615
151884,272168303
112419,272169703
112419,272172248
112419,272173945
112419,272177364
112419,272183683
112419,272187345
112419,272190381
112419,272190973
112419,272195592
112419,272197196
151884,272219285
151884,272223213
112419,272223702
151884,272227996
151884,272236699
151884,272242171
151884,272252637
151884,272253669
151884,272254911
151884,272258363
112419,272259201
151884,272259517
112419,272260177
112419,272262829
151884,272265166
112419,272268745
151884,272268854
112419,272269304
112419,272272027
112419,272276639
112419,272281485
112419,272289745
112419,272296426
112419,272299412
112419,272310580
112419,272324377
112419,272327831
112419,272327914
112419,272334001
112419,272343224
112419,272602790
112419,272615998
151884,272616643
112419,272617227
112419,272619165
151884,272619555
151884,272622618
112419,272629910
112419,272630011
112419,272633575
44225,272638594
112419,272664095
112419,272668362
112419,272742763
109052,272767478
23941,162518284
107709,232865677
151884,273073471
151884,273084096
112419,273176906
112419,273189151
151884,273196244
151884,273198077
151884,273205306
112419,273208827
151884,273249356
151884,273251095
151884,273252824
151884,273254789
151884,273260321
151884,273266223
112419,273267812
151884,273269921
112419,273273724
151884,273274951
151884,273276784
151884,273288853
151884,273293022
112419,273293670
151884,273295564
151884,273298108
151884,273298192
151884,273298262
151884,273298328
151884,273298948
151884,273301677
151884,273302598
112419,273313982
151884,273318507
151884,273330276
151884,273330399
151884,273330436
151884,273330507
151884,273331828
151884,273336049
112419,273337310
112419,273338716
112419,273339350
151884,273345091
112419,273349371
112419,273349757
112419,273350644
112419,273359185
112419,273365808
112419,273398536
112419,273433703
112419,273445360
112419,273551379
112419,273555988
151884,273556332
151884,273556340
151884,273556828
151884,273556829
151884,273556844
151884,273558128
151884,273558154
151884,273558961
151884,273558970
112419,273559950
151884,273561145
151884,273561171
151884,273561173
151884,273561184
151884,273561198
151884,273561199
151884,273561205
151884,273561206
151884,273569677
151884,273569685
151884,273569687
151884,273569688
151884,273570524
151884,273570538
151884,273570604
151884,273570632
151884,273570633
151884,273572329
151884,273572668
151884,273573612
112419,273575759
151884,273582598
151884,273582605
151884,273582607
151884,273582690
151884,273587150
151884,273590478
151884,273590490
151884,273591132
151884,273593347
112419,273593874
151884,273594513
151884,273594987
151884,273595103
151884,273595383
151884,273595398
151884,273595407
151884,273595451
112419,273595518
151884,273597165
151884,273597177
151884,273600784
151884,273602700
151884,273602796
151884,273602802
151884,273617110
151884,273617113
151884,273617122
151884,273622032
151884,273622033
151884,273636224
151884,273640191
151884,273640205
151884,273640262
151884,273660918
151884,273661202
151884,273661371
151884,273661488
151884,273661491
151884,273661501
151884,273661502
151884,273662054
151884,273664164
151884,273664872
151884,273666152
151884,273666326
151884,273666491
151884,273666573
151884,273666650
151884,273667188
151884,273667189
151884,273667190
151884,273667203
151884,273683076
151884,273683860
151884,273687087
151884,273690761
151884,273691040
151884,273691279
151884,273691496
151884,273692194
151884,273692483
151884,273692493
151884,273701975
151884,273704328
149313,273704341
151884,273704568
151884,273704599
151884,273704638
151884,273704653
151884,273704659
151884,273704676
151884,273705170
151884,273710667
149313,273711123
151884,273712112
151884,273713127
151884,273713143
151884,273718358
151884,273718486
151884,273718555
151884,273718730
151884,273718800
151884,273718806
151884,273718808
151884,273719236
151884,273720541
151884,273729461
151884,273732195
151884,273732618
151884,273732627
151884,273733649
151884,273737313
151884,273738753
151884,273739203
151884,273752165
149313,273794559
58395,233621302
58395,233621321
58395,233621323
58395,233621331
58395,233621341
58395,233621370
58395,233621963
58395,233621967
58395,233621968
58395,233621981
58395,233625484
58395,233627121
58395,233627543
149313,274416508
149313,274416511
149313,274416536
149313,274416549
149313,274416599
149313,274416971
149313,274418241
149313,274418279
149313,274418355
149313,274422563
151884,274449285
151884,274484220
151884,274491007
149313,274541797
149313,274544813
149313,274555894
149313,274563300
58395,233920195
58395,233920655
149313,274566381
151884,274566534
58395,233921031
81927,233959891
151884,274638763
151884,274639291
151884,274639399
151884,274639404
151884,274639469
151884,274640036
151884,274640363
151884,274640364
151884,274640825
151884,274640865
151884,274641267
151884,274641312
151884,274641573
151884,274642344
151884,274643549
149313,274680538
149313,274683725
149313,274833574
149313,274833634
149313,274833751
36570,202255696
36570,202255873
36570,202255887
36570,202255897
36570,202255913
36570,202255991
36570,202255993
36570,202256005
36570,202256006
36570,202256007
36570,202256019
36570,202256024
36570,202256027
36570,202256029
36570,202256033
36570,202256036
36570,202256056
36570,202256074
36570,202256076
36570,202256084
36570,202256085
36570,202256171
36570,202256466
36570,202256847
36570,202256870
36570,202256887
36570,202257038
36570,202257043
36570,202257072
36570,202257080
36570,202257254
36570,202257323
36570,202257331
36570,202257333
36570,202257334
36570,202257414
36570,202257417
36570,202257505
36570,202257509
36570,202257571
36570,202257585
36570,202257847
36570,202257850
36570,202257852
36570,202257860
36570,202257874
36570,202258016
36570,202258372
36570,202258413
36570,202258418
36570,202276031
36570,202311356
149313,274961094
149313,274961166
149313,274961422
149313,274964547
149313,274965865
149313,274966750
149313,274967638
149313,274976947
149313,274977495
149313,274979280
149313,274979352
151884,275130420
149313,275225437
149313,275230143
149313,275230158
149313,275230280
149313,275230507
149313,275230531
149313,275230895
149313,275231363
149313,275231456
149313,275232103
149313,275232654
149313,275233633
149313,275235033
149313,275241010
149313,275242356
149313,275245262
149313,275247898
149313,275257434
149313,275259967
149313,275260626
149313,275266301
149313,275266586
149313,275267508
149313,275268809
149313,275280800
149313,275300042
149313,275310361
149313,275310547
149313,275310725
149313,275310779
149313,275310802
149313,275311200
149313,275311244
149313,275313912
149313,275362212
149313,275362414
149313,275362438
149313,275362440
149313,275362950
149313,275363107
149313,275363134
149313,275365984
149313,275367809
149313,275367817
149313,275370457
149313,275370638
149313,275380153
151884,275388972
151884,275393325
149313,275394437
151884,275398852
151884,275398853
151884,275398854
151884,275402758
151884,275402759
151884,275402763
151884,275405632
151884,275405633
151884,275405634
151884,275405635
151884,275405637
151884,275406002
151884,275406081
151884,275407542
151884,275408081
151884,275408115
151884,275415874
151884,275418745
151884,275426051
151884,275426474
151884,275432811
151884,275433928
151884,275434087
151884,275434732
151884,275436108
151884,275436365
151884,275437669
151884,275437766
151884,275437803
151884,275440902
151884,275442429
151884,275443975
151884,275448154
151884,275448584
151884,275449417
151884,275449424
151884,275450319
151884,275452759
151884,275452763
151884,275452768
151884,275453611
151884,275453804
151884,275453810
151884,275453823
151884,275453873
151884,275453962
151884,275454524
151884,275454563
151884,275454631
151884,275454788
151884,275455451
151884,275455495
151884,275461211
151884,275461220
151884,275461223
151884,275461227
151884,275461880
151884,275462333
151884,275462606
151884,275465884
151884,275466916
151884,275467991
151884,275471641
151884,275471646
151884,275472217
151884,275472823
151884,275472861
151884,275472874
151884,275475594
151884,275475604
151884,275477070
151884,275493885
151884,275493906
151884,275494101
151884,275494358
151884,275494361
151884,275494476
151884,275494852
151884,275495019
151884,275495033
151884,275495054
151884,275495066
151884,275495081
151884,275495095
151884,275495125
151884,275495138
151884,275495149
151884,275495168
151884,275495185
151884,275495347
151884,275495506
151884,275495628
151884,275495649
151884,275495781
151884,275495793
151884,275495837
151884,275495925
151884,275495960
151884,275495975
151884,275495976
151884,275496719
151884,275496720
151884,275497834
151884,275498192
151884,275498339
151884,275498476
151884,275499146
67833,202655181
67833,202743735
151884,275734230
36570,202801239
36570,202807814
36570,202807816
36570,202807878
36570,202807879
36570,202807923
36570,202808117
36570,202808177
69666,235129405
36570,202809758
36570,202810049
36570,202810050
36570,202810523
36570,202810530
36570,202810533
69666,235173933
36570,202864962
36570,202864983
67833,276174862
67833,276180076
67833,276180472
67833,276181604
67833,276181949
67833,276190209
151884,276292123
151884,276296563
151884,276296566
151884,276297830
151884,276297833
151884,276297984
151884,276298559
151884,276299177
151884,276300356
151884,276300359
151884,276300362
151884,276300436
151884,276300954
151884,276301017
151884,276301327
151884,276302376
151884,276304090
151884,276304796
151884,276306853
151884,276306856
151884,276307712
151884,276307713
151884,276308170
151884,276310029
151884,276310080
151884,276310116
151884,276310117
151884,276310123
151884,276310165
151884,276310271
151884,276310283
151884,276313938
151884,276313941
151884,276316138
151884,276316139
151884,276316263
151884,276316284
151884,276316749
151884,276318420
151884,276318438
151884,276318449
151884,276318461
151884,276318462
151884,276320321
151884,276320324
151884,276320333
